GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Julb.me :: Java SDK for GitHub actions,me.julb.sdk.github.actions.spi,GitHubActionServiceLoader,0,4,0,0,0,1,0,1,0,1
Julb.me :: Java SDK for GitHub actions,me.julb.sdk.github.actions.kit,SystemProxySystemImpl,3,13,0,0,2,6,1,4,1,4
Julb.me :: Java SDK for GitHub actions,me.julb.sdk.github.actions.kit,AnnotationProperties.AnnotationPropertiesBuilder,14,49,0,0,0,1,1,8,1,8
Julb.me :: Java SDK for GitHub actions,me.julb.sdk.github.actions.kit,AnnotationProperties,0,91,0,0,0,11,0,3,0,3
Julb.me :: Java SDK for GitHub actions,me.julb.sdk.github.actions.kit,GitHubActionsKit,0,741,0,92,0,135,0,107,0,61
Julb.me :: Java SDK for GitHub actions,me.julb.sdk.github.actions.kit,ExecCommand,0,120,0,2,0,28,0,7,0,6
